Detector_Name,Site_No,Intersect_No,Intersection_Name,Phase,Detector_Code,Is_Virtual,Virtual_Powered_By,Cable_Length
IS_21_1,1,1010,בגין / דרומה למסוף דן,21,IS,FALSE,,96.211882
DQ_21_1,1,1010,בגין / דרומה למסוף דן,21,DQ,FALSE,,30.636005
IS_20_1,1,1010,בגין / דרומה למסוף דן,20,IS,FALSE,,88.788
DQ_20_1,1,1010,בגין / דרומה למסוף דן,20,DQ,FALSE,,31.410527
DS_21_1,1,1010,בגין / דרומה למסוף דן,21,DS,FALSE,,32.424792
DS_20_1,1,1010,בגין / דרומה למסוף דן,20,DS,FALSE,,33.999118
DL_21_1,1,1010,בגין / דרומה למסוף דן,21,DL,FALSE,,42.856
DL_20_1,1,1010,בגין / דרומה למסוף דן,20,DL,FALSE,,110.191
DM_21_3,3,1020,ניסנבאום / קוממיות,21,DM,FALSE,,118.970117
DS_21_3,3,1020,ניסנבאום / קוממיות,21,DS,FALSE,,41.746117
DQ_20_3,3,1020,ניסנבאום / קוממיות,20,DQ,FALSE,,66.624324
DQ_21_3,3,1020,ניסנבאום / קוממיות,21,DQ,FALSE,,66.594883
DS_20_3,3,1020,ניסנבאום / קוממיות,20,DS,FALSE,,32.746676
DM_20_3,3,1020,ניסנבאום / קוממיות,20,DM,FALSE,,107.162142
DL_21_3,3,1020,ניסנבאום / קוממיות,21,DL,TRUE,DL_20_1,
DP_20_3,3,1020,ניסנבאום / קוממיות,20,DP,TRUE,DP_20_4,
DL_20_3,3,1020,ניסנבאום / קוממיות,20,DL,TRUE,DQ_20_5,
IS_21_3,3,1020,ניסנבאום / קוממיות,21,IS,TRUE,DL_21_1,
DP_21_3,3,1020,ניסנבאום / קוממיות,21,DP,TRUE,DL_20_1,
DS_21_4,4,1030,ניסנבאום / העמל,21,DS,FALSE,,32.134874
DQ_20_4,4,1030,ניסנבאום / העמל,20,DQ,FALSE,,61.240142
DQ_21_4,4,1030,ניסנבאום / העמל,21,DQ,FALSE,,61.347126
DM_21_4,4,1030,ניסנבאום / העמל,21,DM,FALSE,,113.042883
DM_20_4,4,1030,ניסנבאום / העמל,20,DM,FALSE,,32.355858
DP_20_4,4,1030,ניסנבאום / העמל,20,DP,FALSE,,112.824858
IS_21_4,4,1030,ניסנבאום / העמל,21,IS,TRUE,DL_21_1,
IS_20_4,4,1030,ניסנבאום / העמל,20,IS,TRUE,DS_21_3,
DS_20_4,4,1030,ניסנבאום / העמל,20,DS,TRUE,DM_20_4,
DL_20_4,4,1030,ניסנבאום / העמל,20,DL,TRUE,IS_20_6,
DL_21_4,4,1030,ניסנבאום / העמל,21,DL,TRUE,DL_20_1,
DP_21_5,5,1040,ניסנבאום / הרב מימון,21,DP,FALSE,,142.048126
DM_21_5,5,1040,ניסנבאום / הרב מימון,21,DM,FALSE,,141.566146
DS_21_5,5,1040,ניסנבאום / הרב מימון,21,DS,FALSE,,32.076146
DQ_20_5,5,1040,ניסנבאום / הרב מימון,20,DQ,FALSE,,52.016315
DQ_21_5,5,1040,ניסנבאום / הרב מימון,21,DQ,FALSE,,51.938854
DS_20_5,5,1040,ניסנבאום / הרב מימון,20,DS,FALSE,,31.966685
DM_20_5,5,1040,ניסנבאום / הרב מימון,20,DM,FALSE,,138.941685
DL_21_5,5,1040,ניסנבאום / הרב מימון,21,DL,TRUE,DM_21_4,
DL_20_5,5,1040,ניסנבאום / הרב מימון,20,DL,TRUE,DM_20_6,
DP_20_5,5,1040,ניסנבאום / הרב מימון,20,DP,TRUE,IS_20_6,
IS_21_6,6,1050,"ניסנבאום / כ""ט בנובמבר",21,IS,FALSE,,156.08353
DP_21_6,6,1050,"ניסנבאום / כ""ט בנובמבר",21,DP,FALSE,,114.67753
IS_20_6,6,1050,"ניסנבאום / כ""ט בנובמבר",20,IS,FALSE,,150.407383
DM_21_6,6,1050,"ניסנבאום / כ""ט בנובמבר",21,DM,FALSE,,33.00053
DQ_20_6,6,1050,"ניסנבאום / כ""ט בנובמבר",20,DQ,FALSE,,67.669383
DQ_21_6,6,1050,"ניסנבאום / כ""ט בנובמבר",21,DQ,FALSE,,67.70947
DS_20_6,6,1050,"ניסנבאום / כ""ט בנובמבר",20,DS,FALSE,,32.140617
DM_20_6,6,1050,"ניסנבאום / כ""ט בנובמבר",20,DM,FALSE,,137.154617
DL_21_6,6,1050,"ניסנבאום / כ""ט בנובמבר",21,DL,TRUE,DP_21_5,
DS_21_6,6,1050,"ניסנבאום / כ""ט בנובמבר",21,DS,TRUE,DM_21_6,
DP_20_6,6,1050,"ניסנבאום / כ""ט בנובמבר",20,DP,TRUE,DQ_20_7,
DL_20_6,6,1050,"ניסנבאום / כ""ט בנובמבר",20,DL,TRUE,DQ_20_9,
DM_21_7,7,1060,ניסנבאום / החרושת,21,DM,FALSE,,142.042429
DS_21_7,7,1060,ניסנבאום / החרושת,21,DS,FALSE,,35.342429
DQ_20_7,7,1060,ניסנבאום / החרושת,20,DQ,FALSE,,57.774091
DQ_21_7,7,1060,ניסנבאום / החרושת,21,DQ,FALSE,,55.757571
DS_20_7,7,1060,ניסנבאום / החרושת,20,DS,FALSE,,30.145909
DM_20_7,7,1060,ניסנבאום / החרושת,20,DM,FALSE,,107.570909
DL_21_7,7,1060,ניסנבאום / החרושת,21,DL,TRUE,IS_21_6,
DP_21_7,7,1060,ניסנבאום / החרושת,21,DP,TRUE,DQ_21_6,
DP_20_7,7,1060,ניסנבאום / החרושת,20,DP,TRUE,DQ_20_8,
DL_20_7,7,1060,ניסנבאום / החרושת,20,DL,TRUE,DQ_20_9,
DM_21_8,8,1070,ניסנבאום / יוספטל,21,DM,FALSE,,62.3707
DS_21_8,8,1070,ניסנבאום / יוספטל,21,DS,FALSE,,31.8487
DQ_20_8,8,1070,ניסנבאום / יוספטל,20,DQ,FALSE,,62.334155
DQ_21_8,8,1070,ניסנבאום / יוספטל,21,DQ,FALSE,,66.4293
DM_20_8,8,1070,ניסנבאום / יוספטל,20,DM,FALSE,,46.412845
DL_21_8,8,1070,ניסנבאום / יוספטל,21,DL,TRUE,DP_21_6,
DP_21_8,8,1070,ניסנבאום / יוספטל,21,DP,TRUE,DQ_21_7,
DS_20_8,8,1070,ניסנבאום / יוספטל,20,DS,TRUE,DM_20_8,
DL_20_8,8,1070,ניסנבאום / יוספטל,20,DL,TRUE,DM_20_11,
DP_20_8,8,1070,ניסנבאום / יוספטל,20,DP,TRUE,DQ_20_9,
DM_21_9,9,1090,יוספטל / משה שרת,21,DM,FALSE,,50.849023
DS_21_9,9,1090,יוספטל / משה שרת,21,DS,FALSE,,32.644023
DQ_20_9,9,1090,יוספטל / משה שרת,20,DQ,FALSE,,36.248751
DQ_21_9,9,1090,יוספטל / משה שרת,21,DQ,FALSE,,40.374977
DS_20_9,9,1090,יוספטל / משה שרת,20,DS,FALSE,,34.417249
DM_20_9,9,1090,יוספטל / משה שרת,20,DM,FALSE,,130
DL_21_9,9,1090,יוספטל / משה שרת,21,DL,TRUE,DM_21_8,
DP_20_9,9,1090,יוספטל / משה שרת,20,DP,TRUE,DQ_20_10,
DL_20_9,9,1090,יוספטל / משה שרת,20,DL,TRUE,DQ_20_12,
DP_21_9,9,1090,יוספטל / משה שרת,21,DP,TRUE,DQ_21_8,
DS_21_10,10,1100,יוספטל / החשמונאים,21,DS,FALSE,,32.743061
DQ_20_10,10,1100,יוספטל / החשמונאים,20,DQ,FALSE,,49.762664
DQ_21_10,10,1100,יוספטל / החשמונאים,21,DQ,FALSE,,46.342939
DS_20_10,10,1100,יוספטל / החשמונאים,20,DS,FALSE,,36.202336
DM_20_10,10,1100,יוספטל / החשמונאים,20,DM,FALSE,,84.599336
DM_21_10,10,1100,יוספטל / החשמונאים,21,DM,FALSE,,120
IS_21_10,10,1100,יוספטל / החשמונאים,21,IS,FALSE,,80
DL_21_10,10,1100,יוספטל / החשמונאים,21,DL,TRUE,DQ_21_8,
DP_21_10,10,1100,יוספטל / החשמונאים,21,DP,TRUE,DQ_21_9,
DM_20_10,10,1100,יוספטל / החשמונאים,20,DM,TRUE,IS__20_11,
DP_20_10,10,1100,יוספטל / החשמונאים,20,DP,TRUE,DM_20_11,
DL_20_10,10,1100,יוספטל / החשמונאים,20,DL,TRUE,DQ_20_12,
DM_21_11,11,1110,יוספטל / בר אילן,21,DM,FALSE,,80
DS_21_11,11,1110,יוספטל / בר אילן,21,DS,FALSE,,32.228984
DQ_20_11,11,1110,יוספטל / בר אילן,20,DQ,FALSE,,75.908698
DQ_21_11,11,1110,יוספטל / בר אילן,21,DQ,FALSE,,72.767016
DM_20_11,11,1110,יוספטל / בר אילן,20,DM,FALSE,,35.561302
IS_20_11,11,1110,יוספטל / ברנר,20,IS,FALSE,,
DP_21_11,11,1110,יוספטל / בר אילן,21,DP,TRUE,DM_21_10,
DM_21_11,11,1110,יוספטל / בר אילן,21,DM,TRUE,IS__21_10,
DL_20_11,11,1110,יוספטל / בר אילן,20,DL,TRUE,DM_20_13,
DL_21_11,11,1110,יוספטל / בר אילן,21,DL,TRUE,DQ_21_8,
DS_20_11,11,1110,יוספטל / בר אילן,20,DS,TRUE,DM_20_11,
DP_20_11,11,1110,יוספטל / בר אילן,20,DP,TRUE,DQ_20_12,
DM_21_12,12,1120,יוספטל / ברנר,21,DM,FALSE,,33.927819
DQ_20_12,12,1120,יוספטל / ברנר,20,DQ,FALSE,,39.095091
DQ_21_12,12,1120,יוספטל / ברנר,21,DQ,FALSE,,39.261181
DS_20_12,12,1120,יוספטל / ברנר,20,DS,FALSE,,31.999909
